strain	evol	od_0nM_r1	od_0nM_r2	od_0nM_r3	od_5nM_r1	od_5nM_r2	od_5nM_r3	date_r1	date_r2	date_r3	frac_r1	frac_r2	frac_r3	od_0nM_avg	od_5nM_avg	frac_grow_rapa	sterr_rapa
4690	evolved	7.52	9.67	8.39	5.16	7.32	6.86	220712	221116	221130	0.686170213	0.756980352	0.817640048	8.526666667	6.446666667	0.753596871	0.065800192
4692	evolved	5.18	5.44	5.81	5.2	3.94	5.78	220712	221130	230210	1.003861004	0.724264706	0.994836489	5.476666667	4.973333333	0.907654066	0.158883931
4687	evolved	9.54	12.45	10.2	9.23	11.6	10.41	220712	221116	221130	0.967505241	0.931726908	1.020588235	10.73	10.41333333	0.973273461	0.044710605
4688	evolved	4.46	4.83	5.35	3.92	3.61	1.19	220712	230210	230216	0.878923767	0.747412008	0.222429907	4.88	2.906666667	0.616255227	0.347343667
4691	evolved	7.09	7.04	6.83	7.19	4.35	6.94	220712	221130	230210	1.014104372	0.617897727	1.016105417	6.986666667	6.16	0.882702506	0.229329848
4689	evolved	6.52	7.22	6.72	6.49	7.28	6.69	220712	221116	221130	0.995398773	1.008310249	0.995535714	6.82	6.82	0.999748246	0.007415229
4696	evolved	7.08	9.83	8.48	7.5	8.91	7.72	220728	221116	221122	1.059322034	0.906408952	0.910377358	8.463333333	8.043333333	0.958702782	0.087161416
4698	evolved	7.45	9.63	9.57	7.26	5.13	9.62	220728	221130	230210	0.974496644	0.53271028	1.00522466	8.883333333	7.336666667	0.837477195	0.26438269
4693	evolved	4.31	7.27	6.51	5.87	6.93	4.9	220728	221116	221122	1.361948956	0.953232462	0.752688172	6.03	5.9	1.022623197	0.310501177
4694	evolved	4.11	6.81	4.21	1.69	1.07	0.55	220728	230216	230217	0.411192214	0.15712188	0.13064133	5.043333333	1.103333333	0.232985141	0.154898759
4697	evolved	6.61	7.22	6.73	5.02	7.26	4.5	220728	221116	221122	0.759455371	1.005540166	0.668647845	6.853333333	5.593333333	0.811214461	0.174308237
4695	evolved	7.21	12.33	10.62	6.92	11.94	8.63	220728	221116	221122	0.959778086	0.96836983	0.812617702	10.05333333	9.163333333	0.913588539	0.087548769
4702	evolved	5.34	10.93	9.17	2.76	2.82	2.64	220728	221116	221122	0.516853933	0.258005489	0.287895311	8.48	2.74	0.354251578	0.141608597
4704	evolved	6.37	7.14	6.51	5.18	7.4	6.56	220728	221116	221122	0.813186813	1.036414566	1.007680492	6.673333333	6.38	0.95242729	0.121438645
4699	evolved	6.26	7.37	6.88	2.74	7.63	5.83	220728	221116	221122	0.437699681	1.035278155	0.847383721	6.836666667	5.4	0.773453852	0.305571968
4700	evolved	4.63	3.87	3.01	2.43	4.65	1.45	220728	221116	221122	0.524838013	1.201550388	0.481727575	3.836666667	2.843333333	0.736038658	0.403720826
4703	evolved	6.45	7.17	6.7	6.31	7.72	6.71	220728	221116	221122	0.978294574	1.076708508	1.001492537	6.773333333	6.913333333	1.018831873	0.051447206
4701	evolved	6.9	9.13	8.16	4.98	9.47	8.26	220728	221116	221122	0.72173913	1.037239869	1.012254902	8.063333333	7.57	0.923744634	0.17538737
4709	evolved	5.85	6.2	6.53	4.95	2.63	5.89	220728	221130	230210	0.846153846	0.424193548	0.901990812	6.193333333	4.49	0.724112735	0.261233766
4711	evolved	6.07	6.12	7.48	6.13	6.48	7.68	220728	221130	230210	1.009884679	1.058823529	1.026737968	6.556666667	6.763333333	1.031815392	0.024861375
4712	evolved	5.85	6.68	6.07	5.86	6.78	6.44	220728	230210	230216	1.001709402	1.01497006	1.060955519	6.2	6.36	1.025878327	0.031092898
4706	evolved	6.69	6.75	6.84	5.33	6.19	6.9	220728	221130	230210	0.79671151	0.917037037	1.00877193	6.76	6.14	0.907506826	0.106350948
4705	evolved	8.11	8.5	9.98	1.76	1.37	5.59	220728	221130	230210	0.21701603	0.161176471	0.56012024	8.863333333	2.906666667	0.312770914	0.216022641
4707	evolved	4.19	4.93	6.08	1.02	0.71	1.12	220728	221130	230210	0.243436754	0.144016227	0.184210526	5.066666667	0.95	0.190554503	0.050012947
4710	evolved	7.06	9.25	8.48	6.87	9.17	8.59	220728	221116	221122	0.973087819	0.991351351	1.012971698	8.263333333	8.21	0.992470289	0.01996547
