genotype	repl	rapa_growth
wt	1	0.197952218
usa1	1	0.410009625
sky1	1	0.28035538
svf1	1	0.550657386
ebs1	1	0.350620068
tom20	1	0.450450451
sit4	1	0.647058824
tip41	1	0.844311377
wt	2	0.275775356
usa1	2	0.326975477
sky1	2	0.234494478
svf1	2	0.593574297
ebs1	2	0.433422699
tom20	2	0.278611632
sit4	2	0.551040634
tip41	2	0.885572139
wt	3	0.175969726
usa1	3	0.261595547
sky1	3	0.1886196
svf1	3	0.552567237
ebs1	3	0.384920635
tom20	3	0.24311491
sit4	3	0.446247465
tip41	3	0.787878788
