geno	WT	WT	WT	PDR1-G280A/+	PDR1-G280A/+	PDR1-G280A/+	PDR1-L1056H/+	PDR1-L1056H/+	PDR1-L1056H/+	WT	WT	WT	PDR1-G280A/+	PDR1-G280A/+	PDR1-G280A/+	PDR1-L1056H/+	PDR1-L1056H/+	PDR1-L1056H/+
strain	YMD5093	YMD5093	YMD5093	YMD5094	YMD5094	YMD5094	YMD5095	YMD5095	YMD5095	YMD5093	YMD5093	YMD5093	YMD5094	YMD5094	YMD5094	YMD5095	YMD5095	YMD5095
conc	0	0	0	0	0	0	0	0	0	20	20	20	20	20	20	20	20	20
repl	1	2	3	1	2	3	1	2	3	1	2	3	1	2	3	1	2	3
0.25	0.14	0.137	0.136	0.137	0.14	0.141	0.141	0.141	0.144	0.148	0.147	0.143	0.149	0.146	0.146	0.143	0.146	0.138
0.5	0.144	0.139	0.138	0.138	0.14	0.142	0.139	0.142	0.148	0.155	0.154	0.148	0.15	0.151	0.149	0.146	0.147	0.142
0.75	0.153	0.145	0.145	0.142	0.144	0.147	0.143	0.144	0.153	0.16	0.16	0.156	0.156	0.155	0.154	0.15	0.156	0.148
1	0.159	0.15	0.15	0.148	0.151	0.152	0.149	0.15	0.16	0.165	0.166	0.161	0.16	0.163	0.156	0.155	0.158	0.152
1.25	0.167	0.157	0.156	0.155	0.156	0.159	0.154	0.155	0.168	0.168	0.169	0.165	0.167	0.161	0.16	0.158	0.161	0.155
1.5	0.173	0.161	0.163	0.163	0.161	0.166	0.16	0.162	0.177	0.17	0.172	0.166	0.168	0.167	0.166	0.161	0.162	0.155
1.75	0.18	0.167	0.168	0.167	0.166	0.171	0.165	0.166	0.184	0.17	0.174	0.168	0.168	0.167	0.163	0.162	0.164	0.156
2	0.187	0.173	0.174	0.175	0.172	0.179	0.171	0.172	0.192	0.171	0.177	0.169	0.17	0.169	0.165	0.163	0.163	0.158
2.25	0.196	0.181	0.182	0.183	0.179	0.188	0.177	0.182	0.198	0.172	0.175	0.17	0.174	0.168	0.166	0.164	0.163	0.159
2.5	0.207	0.193	0.19	0.191	0.19	0.198	0.187	0.192	0.211	0.173	0.176	0.171	0.172	0.172	0.165	0.166	0.165	0.157
2.75	0.22	0.2	0.201	0.203	0.2	0.209	0.201	0.201	0.229	0.174	0.175	0.175	0.173	0.171	0.167	0.166	0.163	0.158
3	0.235	0.215	0.213	0.219	0.211	0.224	0.212	0.211	0.246	0.177	0.177	0.171	0.176	0.169	0.167	0.166	0.165	0.159
